PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
03NHo,8/6p1/5p1p/4n3/6kP/1R4P1/2PK4/8 w - - 5 43,b3e3 e5c4 d2e2 c4e3 e2e3 g4g3,1215,75,98,2743,advantage endgame fork long,https://lichess.org/L9JW25Vd#85,
03PFj,2kr3r/Bppnqpbp/3p1np1/3P4/4P3/2PQ1B2/PPK3R1/RN6 b - - 0 16,b7b6 d3a6,1253,158,-26,13,mate mateIn1 middlegame oneMove,https://lichess.org/4y2GIhW6/black#32,Kings_Gambit_Accepted Kings_Gambit_Accepted_Gaga_Gambit
03PJk,3r4/6pk/2p3p1/p7/8/b1pB1R2/2P3PP/7K b - - 0 28,a3e7 f3h3 h7g8 d3c4,1260,75,86,419,advantage endgame master short,https://lichess.org/nxNdEy17/black#56,
03PqC,8/3bP3/1p4k1/2p1B2p/2P1q3/6R1/8/5BK1 b - - 1 47,g6f5 f1d3 e4d3 g3d3,1288,76,92,578,crushing endgame master pin short,https://lichess.org/M9mY8NXQ/black#94,
03Qyl,8/5pk1/p2r2p1/1p6/1P2p1Pp/P1R1P2P/5PK1/8 b - - 0 38,d6d3 c3d3 e4d3 g2f1,1205,78,94,2489,advantage defensiveMove endgame rookEndgame short,https://lichess.org/uxknfwXt/black#76,
03RXa,2kr3r/Qpp2p2/p1p5/q2b3p/8/B2P3P/1PP5/2K1R2R b - - 5 22,d5h1 a7a8 c8d7 e1e7,1252,76,94,1540,mate mateIn2 middlegame queensideAttack short,https://lichess.org/WAsjuy6H/black#44,
03T6z,6r1/ppn1rk1p/2p2pPP/3p4/3P1B2/P3PP2/1P3KR1/7R b - - 0 31,g8g6 g2g6 f7g6 h1g1,1210,77,67,175,advantage attraction endgame short,https://lichess.org/43ostz0Z/black#62,
03TWH,6k1/p1p1r3/1r2bp1p/4p1P1/6P1/1P3P2/P1B5/2KR3R b - - 0 28,h6g5 d1d8 e7e8 d8e8,1260,75,97,1601,crushing endgame short,https://lichess.org/wp3YaCs9/black#56,
03UJm,1r3rk1/3p1pbp/b1n1qnp1/2pN2B1/8/6P1/PP2PPBP/R2QK1NR w KQ - 4 13,d5f6 g7f6 g5f6 e6f6,1249,244,54,6,crushing master middlegame short,https://lichess.org/mNr0KcLc#25,Benko_Gambit_Accepted Benko_Gambit_Accepted_Fully_Accepted_Variation
03Vlf,1kr5/1p1q1pp1/p2bb2p/8/3N4/3QP3/PP1B1PPP/3R2K1 w - - 0 24,d4e6 d6h2 g1h2 d7d3,1267,76,93,1414,advantage discoveredAttack kingsideAttack middlegame short,https://lichess.org/V39aF5sj#47,
03XLo,4r3/1p2kpp1/p1n3b1/8/7Q/P6P/1P1b2P1/3rNR1K b - - 4 32,e7d7 h4g4 d7c7 g4d1,1200,75,94,3728,crushing fork master middlegame short,https://lichess.org/fLg6eXvw/black#64,
03Xd6,r1b1r3/ppp2p2/3pk3/4n1B1/8/2N4Q/Pq4PK/5R2 b - - 9 28,f7f5 h3f5,1293,75,100,1241,mate mateIn1 middlegame oneMove,https://lichess.org/JEaoQ1Kz/black#56,
03ZiE,3r1r1k/6p1/pp1N2qp/2pQ1pn1/5P2/2P5/PP4PP/3RR1K1 b - - 0 29,g5f7 d6f7 g6f7 d5f7 f8f7 d1d8,1208,76,94,291,crushing fork long middlegame,https://lichess.org/OBs35a7Z/black#58,
03aTT,2rkr3/Q2n3p/1p1bq3/6p1/3B4/2P4P/PP3PP1/R4RK1 w - - 0 21,f1e1 e6e1 a1e1 e8e1,1263,90,63,36,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/UawCyq1v#41,
03cJb,rn5r/ppp1kB1p/3p4/4P2Q/3q4/2N3p1/PPP4P/R4K1R w - - 0 15,e5e6 d4f2,1244,76,93,1761,mate mateIn1 middlegame oneMove,https://lichess.org/DpYhdyF9#29,Kings_Gambit_Accepted Kings_Gambit_Accepted_Bishops_Gambit
03cLe,3r4/1p3k1R/4p1p1/1p2B1P1/8/P7/1PK2P2/r7 b - - 4 42,f7f8 h7h8 f8e7 e5f6,1261,75,85,1153,crushing endgame master short,https://lichess.org/vJk6oGyl/black#84,
03e18,4r1k1/R5pp/p2B1p2/2p5/2Pb4/r6P/5PP1/3R2K1 w - - 0 31,d1d4 a3a1 g1h2 c5d4,1296,150,-24,10,crushing endgame intermezzo short,https://lichess.org/XFBCm0mA#61,
03eOc,r4rk1/ppp3pp/1b1pp2n/4p3/1P1PP3/2P1R3/P5PP/RNBQ1q1K w - - 2 15,d1f1 f8f1,1216,163,44,63,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/czZF8Vv4#29,Giuoco_Piano Giuoco_Piano_Other_variations
03eUB,rq4k1/1p2rp2/p2p1np1/2pB2B1/2Pb4/NP3Q1P/P5P1/5R1K b - - 3 21,b8f8 g5f6 d4f6 f3f6,1225,79,47,55,advantage master middlegame short,https://lichess.org/hrQQEnzf/black#42,
03eks,5r1k/p5pp/1p3q2/2pBp3/2PpP1Qn/PP6/2K4R/8 b - - 1 30,h4g6 h2h7 h8h7 g4h5,1206,75,86,1142,attraction endgame mate mateIn2 sacrifice short,https://lichess.org/3VMwytki/black#60,
